"TMA285","Finansiella derivat och partiella differentialekvationer","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMA362","Fourieranalys","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMA372","Partiella differentialekvationer, grundkurs","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMA401","Funktionalanalys","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMA881","Högprestandaberäkning","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMA947","Olinjär optimering","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMS016","Statistisk bildbehandling","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMS041","Multivariat statistisk analys","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMS087","Finansiella tidsserier","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMS150","Statistisk databehandling","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMS165","Stokastisk analys","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMV027","Ändliga automater och formella språk","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TMV100","Integrationsteori","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMV200","Diskret matematik","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TMV206","Linjär algebra","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"UNA016","Miljöpolitiska styrmedel","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"VMI010","Miljösystemanalys","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"VMI035","Miljömanagement","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"VTA135","Audioteknik och akustik","MPSOV","LJUD OCH VIBRATIONER, MASTERPROGRAM"
"VTM081","Livscykelanalys","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
